ID;puntos;rebotes;asistencias;ultimo equipo
21;25000;6000;8000;Cavaliers
22;21000;5000;3500;Thunder
23;19000;4000;5000;Warriors
24;14000;6500;3000;Bucks
25;7000;2000;2500;Mavericks
26;18000;4500;5200;Rockets
27;12000;5000;2200;Pelicans
28;15000;4300;2800;Raptors
29;17000;3000;4400;Trail Blazers
30;11000;5600;4000;Nuggets
31;10000;2900;3300;Celtics
32;14000;3600;2500;Bulls
33;12500;6000;2200;76ers
34;11000;2400;3800;Suns
35;8900;1600;4400;Hawks
36;8400;4400;2200;Timberwolves
37;11700;2500;3300;Wizards
38;7400;3000;1600;Pelicans
39;9800;2500;3100;Jazz
40;8000;2300;3900;Grizzlies