id_match;id_jugador;punts;rebots;asistencias
1;3;28;10;9
1;16;15;11;1
1;12;21;6;6
1;19;24;3;7
1;10;26;2;9
1;7;30;11;3
1;4;14;13;5
1;9;35;5;2
1;2;12;7;4
1;18;22;4;7
2;11;8;8;10
2;30;27;9;3
2;28;10;2;8
2;23;18;1;5
2;15;20;6;7
2;27;32;4;2
2;25;17;10;9
2;20;6;15;4
2;13;5;11;1
2;22;14;7;3
3;6;35;10;8
3;5;7;3;5
3;17;22;12;4
3;26;24;9;3
3;14;18;14;9
3;21;21;1;7
3;1;9;5;2
3;8;28;8;6
3;29;10;15;5
3;24;30;6;7
4;15;16;11;5
4;25;14;7;3
4;19;27;9;8
4;2;8;4;1
4;26;10;8;6
4;13;29;10;9
4;28;6;12;4
4;5;15;5;2
4;3;20;3;7
4;30;12;9;3
5;8;18;4;1
5;20;32;6;9
5;14;11;7;5
5;12;9;5;3
5;7;26;14;8
5;16;5;9;6
5;23;10;12;4
5;18;28;3;7
5;11;22;8;2
5;4;25;2;5
6;21;30;9;3
6;10;27;6;8
6;22;19;4;1
6;6;18;12;7
6;29;15;7;5
6;1;8;5;9
6;9;12;11;6
6;17;28;8;2
6;19;20;14;4
6;27;14;3;7
7;3;16;9;5
7;13;6;5;9
7;24;12;8;4
7;26;9;3;7
7;11;14;11;2
7;8;22;6;1
7;18;27;4;8
7;30;20;7;6
7;5;25;12;3
7;7;18;10;7
8;28;19;5;4
8;23;30;6;8
8;2;14;9;5
8;16;32;8;1
8;15;10;2;7
8;1;12;12;3
8;10;6;11;9
8;20;21;10;6
8;21;17;7;4
8;29;8;4;2
9;19;18;6;9
9;9;26;7;3
9;12;5;11;1
9;13;22;3;8
9;3;10;8;5
9;25;15;5;7
9;17;20;4;2
9;27;32;2;6
9;26;9;12;4
9;6;14;10;7
10;30;21;1;5
10;5;6;3;7
10;8;19;4;9
10;11;28;8;6
10;24;12;9;3
10;18;17;10;4
10;22;27;11;2
10;20;14;6;8
10;14;8;5;7
10;4;10;7;1